Name,Cluster 1,Probability1,Cluster 2,Probability2,Cluster 3,Probability3,Cluster 4,Probability4
52.23.2_Fig2_Met,1,1.00,2,0.00,3,0.00,4,0.00
52.23.2._Fig3_Met,1,1.00,2,0.00,3,0.00,4,0.00
52.23.2_Fig4_Met,1,1.00,2,0.00,3,0.00,4,0.00
61.197.5_Met,1,0.00,2,0.00,3,0.00,4,1.00
54.117.8_Met,1,0.00,2,0.00,3,0.00,4,1.00
52.23.3_Met,1,1.00,2,0.00,3,0.00,4,0.00
64.37.1_Met,1,0.00,2,0.00,3,0.00,4,1.00
57.80.4a_Met,1,0.00,2,0.00,3,0.00,4,1.00
BM118198_S197,1,1.00,2,0.00,3,0.00,4,0.00
BM118208_S334p,1,0.00,2,0.02,3,0.68,4,0.30
BM118228_U6_plLXXI,1,1.00,2,0.00,3,0.00,4,0.00
BM118158_C15,1,0.00,2,0.00,3,0.00,4,1.00
BM118159_C12,1,0.00,2,0.00,3,0.00,4,1.00
BM118200_S180,1,1.00,2,0.00,3,0.00,4,0.00
BM118217_T5,1,1.00,2,0.00,3,0.00,4,0.00
BM118236_S212_Fig1full,1,1.00,2,0.00,3,0.00,4,0.00
BM118236_S212_Fig2frg,1,1.00,2,0.00,3,0.00,4,0.00
118192_S204a,1,1.00,2,0.00,3,0.00,4,0.00
118192_S204b,1,0.94,2,0.05,3,0.00,4,0.00
BM118230_S181,1,1.00,2,0.00,3,0.00,4,0.00
BM118232_S183,1,1.00,2,0.00,3,0.00,4,0.00
BM118193_S198,1,1.00,2,0.00,3,0.00,4,0.00
BM118242_S195b,1,0.00,2,1.00,3,0.00,4,0.00
BM118171_S196,1,1.00,2,0.00,3,0.00,4,0.00
BM118203_S190,1,1.00,2,0.00,3,0.00,4,0.00
BM118202_S194,1,1.00,2,0.00,3,0.00,4,0.00
BM118206_S191a,1,1.00,2,0.00,3,0.00,4,0.00
BM118181_S182,1,1.00,2,0.00,3,0.00,4,0.00
BM118229_U7,1,1.00,2,0.00,3,0.00,4,0.00
BM118231_S213_fig1,1,1.00,2,0.00,3,0.00,4,0.00
BM118270_S226,1,0.00,2,1.00,3,0.00,4,0.00
BM126942_S228,1,0.91,2,0.03,3,0.00,4,0.06
BM126691_S229,1,1.00,2,0.00,3,0.00,4,0.00
BM126817_S334m,1,0.00,2,0.00,3,1.00,4,0.00
BM127054_S189,1,0.00,2,0.54,3,0.00,4,0.46
BM118254_S334n,1,1.00,2,0.00,3,0.00,4,0.00
BM118208_S334o,1,0.00,2,0.00,3,0.93,4,0.07
BM123809_S350,1,1.00,2,0.00,3,0.00,4,0.00
BM118104_S146,1,0.00,2,0.00,3,0.00,4,1.00
BM126675_S208a-b,1,0.00,2,0.00,3,0.00,4,1.00
BM118253_S294fig1_WoNoNose,1,0.00,2,0.00,3,0.00,4,1.00
BM118253_S294fig2_WoWNose,1,0.00,2,0.00,3,0.00,4,1.00
BM118253_S294fig3_Man,1,0.00,2,0.00,3,0.00,4,1.00
BM118253_S294fig4_Man,1,0.00,2,0.00,3,1.00,4,0.00
BM118197_S207_fig1,1,1.00,2,0.00,3,0.00,4,0.00
BM118197_S207_fig2,1,1.00,2,0.00,3,0.00,4,0.00
BM126787_S308_fig1,1,0.84,2,0.00,3,0.00,4,0.16
BM126787_S308_fig2,1,0.35,2,0.00,3,0.00,4,0.65
BM118194_S205Fig1,1,1.00,2,0.00,3,0.00,4,0.00
BM126675_S206_fig1Dark,1,1.00,2,0.00,3,0.00,4,0.00
BM126675_S206_fig2Light,1,1.00,2,0.00,3,0.00,4,0.00
BM118102_S210_fig1WhtnBl,1,0.01,2,0.99,3,0.00,4,0.00
BM118102_S210_fig2Grey,1,0.99,2,0.01,3,0.00,4,0.00
BM126683_S221_fig1,1,0.94,2,0.04,3,0.00,4,0.03
BM126683_S221_fig2,1,0.94,2,0.04,3,0.00,4,0.03
BM126676_S209a-b,1,1.00,2,0.00,3,0.00,4,0.00
BM118224_S150b,1,0.00,2,0.00,3,0.00,4,1.00
BM126677_S215,1,0.87,2,0.08,3,0.00,4,0.05
BM126680_S218,1,0.96,2,0.02,3,0.00,4,0.02
BM126593_S96,1,0.00,2,1.00,3,0.00,4,0.00
BM92234_StoneHd,1,1.00,2,0.00,3,0.00,4,0.00
BM92233_StoneHd,1,1.00,2,0.00,3,0.00,4,0.00
BM139615_StoneHd,1,0.99,2,0.01,3,0.00,4,0.00
Aleppo1,1,0.00,2,0.00,3,0.93,4,0.07
Aleppo2,1,0.00,2,0.00,3,0.98,4,0.02
Aleppo3,1,0.00,2,0.00,3,0.99,4,0.01
Aleppo4,1,0.00,2,0.04,3,0.59,4,0.37
Aleppo5,1,0.00,2,0.00,3,0.99,4,0.01
Aleppo6,1,0.00,2,0.00,3,1.00,4,0.00
Aleppo8,1,0.00,2,0.00,3,1.00,4,0.00
Aleppo9,1,0.00,2,0.00,3,0.00,4,1.00
