Key,Museum,Site,Type
54.117.2_Met_UglySis,Metropolitan Museum of Art, New York,Nimrud,head
52.23.2Fig1_Met,Metropolitan Museum of Art, New York,Nimrud,backtobackBody
52.23.2_Fig2_Met,Metropolitan Museum of Art, New York,Nimrud,backtobackBody
52.23.2._Fig3_Met,Metropolitan Museum of Art, New York,Nimrud,backtobackBody
52.23.2_Fig4_Met,Metropolitan Museum of Art, New York,Nimrud,backtobackBody
61.197.5_Met,Metropolitan Museum of Art, New York,Nimrud,full-length figure
54.117.8_Met,Metropolitan Museum of Art, New York,Nimrud,head
52.23.3_Met,Metropolitan Museum of Art, New York,Nimrud,head
64.37.1_Met,Metropolitan Museum of Art, New York,Nimrud,sphinx
57.80.4a_Met,Metropolitan Museum of Art, New York,Nimrud,sphinx
62.269.6_Met,Metropolitan Museum of Art, New York,Nimrud,full-length figure
58.31.2_Met,Metropolitan Museum of Art, New York,Nimrud,full-length figure
59.107.7_Met,Metropolitan Museum of Art, New York,Nimrud,genie
BM118198_S197,British Museum,Nimrud,head
BM118208_S334p,British Museum,Nimrud,head
BM118228_U6_plLXXI,British Museum,SharifKhan,head
BM118158_C15,British Museum,Nimrud,woman at the window
BM118159_C12,British Museum,Nimrud,woman at the window
BM118200_S180,British Museum,Nimrud,head
BM118217_T5,British Museum,Nineveh,head
BM118236_S212_Fig1full,British Museum,Nimrud,backtobackHead
BM118236_S212_Fig2frg,British Museum,Nimrud,head
118192_S204a,British Museum,Nimrud,head
118192_S204b,British Museum,Nimrud,head
BM118230_S181,British Museum,Nimrud,head
BM118232_S183,British Museum,Nimrud,head
BM118193_S198,British Museum,Nimrud,head
BM118242_S195b,British Museum,Nimrud,head
BM118171_S196,British Museum,Nimrud,head
BM118203_S190,British Museum,Nimrud,head
BM118202_S194,British Museum,Nimrud,head
BM118206_S191a,British Museum,Nimrud,head
BM118181_S182,British Museum,Nimrud,head
BM118229_U7,British Museum,SharifKhan,head
BM118231_S213_fig1,British Museum,Nimrud,backtobackHead
BM118270_S226,British Museum,Nimrud,full-length figure
BM126688_S227,British Museum,Nimrud,body fragment
BM126942_S228,British Museum,Nimrud,body fragment
BM126691_S229,British Museum,Nimrud,body fragment
BM9939_T6,British Museum,Nineveh,full-length figure
BM126817_S334m,British Museum,Nimrud,head
BM127054_S189,British Museum,Nimrud,head
BM118254_S334n,British Museum,Nimrud,head
BM118208_S334o,British Museum,Nimrud,head
BM123809_S350,British Museum,Nimrud,head
BM118104_S146,British Museum,Nimrud,full-length figure
BM126675_S208a-b,British Museum,Nimrud,full-length figure
BM118253_S294fig1_WoNoNose,British Museum,Nimrud,backtobackBody
BM118253_S294fig2_WoWNose,British Museum,Nimrud,backtobackBody
BM118253_S294fig3_Man,British Museum,Nimrud,backtobackBody
BM118253_S294fig4_Man,British Museum,Nimrud,backtobackBody
BM118197_S207_fig1,British Museum,Nimrud,backtobackBody
BM118197_S207_fig2,British Museum,Nimrud,backtobackBody
BM126682_S220,British Museum,Nimrud,full-length figure
BM126681_S219,British Museum,Nimrud,full-length figure
BM126679_S217_Fig1,British Museum,Nimrud,backtobackBody
BM127165_S214fig1AnkRest,British Museum,Nimrud,backtobackBody
BM127165_S214fig2,British Museum,Nimrud,backtobackBody
BM126685_S223_fig1,British Museum,Nimrud,backtobackBody
BM126685_S223_fig2,British Museum,Nimrud,backtobackBody
BM126687_S225_fig1,British Museum,Nimrud,backtobackBody
BM126687_S225_fig2,British Museum,Nimrud,backtobackBody
BM126787_S308_fig1,British Museum,Nimrud,backtobackBody
